index,LS,ES,MS
698,N2,N1,N1
700,N2,Wake,N1
701,N2,Wake,N1
702,N2,N1,N2
703,N2,N1,N2
704,N2,N1,N2
705,N2,N1,N2
706,N2,N1,N2
707,N2,N1,N2
708,N2,N1,N1
709,N2,N1,N2
710,N2,N1,N2
711,N2,Wake,N1
712,N2,N1,N2
713,N2,Wake,N1
714,N2,Wake,Wake
715,N2,N1,N2
716,N2,N1,N1
717,N2,Wake,Wake
718,N2,N1,N2
719,N2,N1,N1
720,N2,N1,N2
721,N2,N1,N2
722,N2,N1,N2
723,N2,N1,N2
724,N2,Wake,N1
725,N2,Wake,N2
726,N2,N1,N1
727,N2,Wake,Wake
728,N2,N1,N2
729,N2,N1,N2
732,N2,N1,N2
733,N2,N1,N1
734,N2,N1,N2
735,N2,N1,N2
737,N2,Wake,N2
738,N2,N1,N2
739,N2,N1,N2
741,N2,Wake,N1
742,N2,N1,N2
743,Wake,Wake,N1
744,N2,N1,N2
745,Wake,Wake,N1
746,Wake,Wake,N1
747,N2,N1,N2
748,N2,Wake,N1
749,N2,N1,N2
750,N2,N1,N2
751,N2,Wake,N2
752,N2,Wake,N2
753,N2,N1,N2
754,N2,N1,N2
755,N2,N1,N2
756,N2,N1,N1
757,N2,N1,N2
758,N2,Wake,N1
759,N2,N1,N2
760,N2,Wake,N2
761,N2,N1,N2
762,N2,Wake,N1
763,N2,N1,N2
764,N2,N1,N2
765,N2,Wake,N1
766,N2,N1,N2
827,Wake,Wake,N1
828,Wake,Wake,N1
829,Wake,Wake,N2
831,N1,Wake,N1
832,N1,N1,N2
839,Rem,Wake,Wake
840,Rem,Wake,N1
841,Rem,Wake,N2
842,Rem,Wake,N2
843,Rem,N1,N2
849,Rem,Wake,Rem
850,Rem,Wake,Rem
851,Rem,N1,Rem
852,Rem,N1,Rem
853,Rem,N1,Rem
854,Rem,N1,N2
855,Rem,N1,N2
856,Rem,Wake,N1
857,Rem,Wake,N1
858,Rem,N1,N2
859,Rem,N1,N2
874,Rem,N1,Rem
875,Rem,N1,Rem
876,Rem,N1,Rem
877,Rem,N1,Rem
878,Rem,N1,Rem
884,N1,Wake,N1
886,N1,Wake,N1
887,N1,Wake,Wake
888,Wake,Wake,N1
889,N1,Wake,N1
891,N1,N1,N2
892,N2,N1,N2
932,Wake,Wake,N1
933,Wake,Wake,N1
934,N1,Wake,N1
935,N1,Wake,N1
936,N1,Wake,N1
937,N1,Wake,N1
938,N2,Wake,N2
939,N2,Wake,N1
940,N2,Wake,N2
941,N2,Wake,N2
942,N2,Wake,N2
943,N2,Wake,N2
944,N2,Wake,N2
945,N2,Wake,N2
946,N2,Wake,N2
947,N2,N1,N2
948,N2,N1,N2
949,N2,N1,N2
950,N2,N1,N2
951,N2,N1,N2
959,N3,N2,N2
960,N3,N2,N2
961,N3,N2,N2
962,N3,N2,N2
963,N3,N2,N2
964,N3,N3,N2
965,N3,N3,N2
966,N3,N3,N2
967,N3,N3,N2
968,N3,N3,N2
969,N3,N3,N2
970,N3,N3,N2
971,N3,N3,N2
972,N3,N3,N2
973,N3,N3,N2
974,N3,N3,N2
975,N3,N3,N2
976,N3,N3,N2
977,N3,N3,N2
978,N3,N3,N2
979,N3,N3,N2
980,N3,N3,N2
981,N3,N3,N2
982,N3,N3,N2
983,N3,N3,N2
984,N3,N3,N2
985,N3,N3,N2
986,N3,N3,N2
987,N3,N3,N2
988,N3,N3,N2
989,N3,N3,N2
990,N3,N3,N2
991,N3,N3,N2
992,N3,N3,N2
993,N3,N3,N2
994,N3,N3,N2
995,N3,N3,N2
996,N3,N3,N2
997,N3,N3,N2
998,N3,N3,N2
999,N3,N3,N2
1000,N3,N3,N2
1001,N3,N3,N2
1002,N3,N3,N2
1003,N3,N3,N2
1004,N3,N3,N2
1005,N3,N3,N2
1006,N3,N3,N2
1007,N3,N3,N2
1008,N3,N3,N2
1009,N3,N3,N2
1010,N3,N3,N2
1011,N3,N3,N2
1012,N3,N3,N2
1013,N3,N3,N2
1014,N3,N3,N2
1015,N3,N3,N2
1016,N3,N3,N2
1017,N3,N3,N2
1018,N3,N3,N2
1019,N3,N3,N2
1020,N3,N3,N2
1021,N3,N3,N2
1022,N3,N3,N2
1023,N3,N3,N2
1024,N3,N3,N2
1025,N3,N3,N2
1026,N3,N3,N2
1027,N3,N3,N2
1028,N3,N3,N2
1029,N3,N3,N2
1030,N3,N3,N2
1031,N3,N3,N2
1032,N3,N3,N2
1033,N3,N3,N2
1034,N3,N3,N2
1035,N3,N3,N2
1036,N3,N3,N2
1037,N3,N3,N2
1038,N3,N3,N2
1039,N3,N3,N2
1040,N3,N3,N2
1041,N3,N3,N2
1042,N3,N3,N2
1043,N3,N3,N2
1044,N3,N3,N2
1045,N3,N3,N2
1046,N3,N3,N2
1047,N3,N3,N2
1048,N3,N3,N2
1049,N3,N3,N2
1050,N3,N3,N2
1051,N3,N3,N2
1052,N3,N3,N2
1053,N3,N3,N2
1054,N3,N3,N2
1055,N3,N3,N2
1056,N3,N3,N2
1057,N3,N3,N2
1058,N3,N3,N2
1059,N3,N3,N2
1060,N3,N3,N2
1061,N3,N3,N2
1062,N3,N3,N2
1063,N3,N3,N2
1064,N3,N3,N2
1065,N3,N3,N2
1066,N3,N3,N2
1067,N3,N3,N2
1068,N3,N3,N2
1069,N3,N3,N2
1070,N3,N3,N2
1071,N3,N3,N2
1072,N3,N2,N2
1073,N3,N3,N2
1074,N3,N3,N2
1075,N3,N3,N2
1076,N3,N3,N2
1077,N3,N2,N2
1078,N3,N2,N2
1079,N3,N3,N2
1080,N3,N2,N2
1081,N3,N3,N2
1082,N3,N3,N2
1083,N3,N3,N2
1084,N3,N3,N2
1085,N3,N3,N2
1086,N3,N3,N2
1087,N3,N3,N2
1088,N3,N3,N2
1089,N3,N3,N2
1090,N3,N3,N2
1091,N3,N2,N2
1092,N3,N2,N2
1093,N3,N2,N2
1094,N3,N2,N2
1095,N3,N2,N2
1096,N3,N2,N2
1097,N3,N2,N2
1098,N3,N2,N2
1099,N3,N2,N2
1100,N3,N2,N2
1101,N3,N2,N2
1102,N3,N2,N2
1103,N3,N2,N2
1104,N3,N2,N2
1105,N3,N2,N2
1110,N2,N1,N2
1119,N2,N1,N2
1123,N2,N1,N2
1124,N2,N1,N2
1129,N2,N1,N2
1130,N2,N1,N2
1132,N2,N1,N2
1133,N2,N1,N2
1135,N2,N1,N2
1137,N2,N1,N2
1138,N2,N1,N2
1139,N2,N1,N2
1140,N2,N1,N2
1141,N2,N1,N2
1144,N2,N1,N2
1145,N2,Wake,N2
1146,N2,N1,N2
1149,N2,N1,N2
1151,N2,Wake,Wake
