index,LS,ES,MS
102,Wake,Wake,N1
105,Wake,Wake,N1
106,Wake,Wake,N1
108,Wake,Wake,N1
115,Wake,Wake,N1
116,Wake,Wake,N1
117,Wake,Wake,N1
118,Wake,Wake,N1
119,Wake,Wake,N1
121,N1,Wake,N1
122,N1,Wake,N1
123,N1,Wake,N1
124,N1,Wake,N1
126,N1,Wake,N1
127,N1,Wake,N1
128,N1,Wake,N1
129,N1,Wake,N1
130,N1,Wake,N1
131,N2,Wake,N1
132,N2,Wake,N1
134,N1,Wake,N1
135,N1,Wake,N2
136,N1,Wake,N2
137,N2,Wake,Wake
138,N2,Wake,N1
139,N2,Wake,N1
140,N2,Wake,N2
141,N2,N1,N1
142,N2,Wake,N2
144,N2,N1,N2
146,N2,N1,N1
147,N2,N1,N2
148,N2,N1,N2
149,N2,N1,N2
151,N2,N1,N1
153,N2,N1,N2
154,N2,Wake,N1
155,N2,N1,N2
156,N2,N1,N1
157,N2,Wake,N2
158,N2,N1,N2
159,N2,N1,N2
161,N2,Wake,N1
162,N2,N1,N2
163,N2,Wake,Wake
164,Rem,N1,N1
165,N2,N1,N1
166,Wake,N1,N1
167,Wake,Wake,N1
168,N1,Wake,N1
169,Wake,N1,Wake
172,N2,N2,N1
173,N2,N1,N2
174,N2,N1,Wake
177,N2,N1,N1
178,N2,N1,N2
179,N2,N1,N2
180,Wake,Wake,N1
181,N2,N1,N2
182,N2,N1,N2
183,Wake,Wake,N1
184,N2,N1,N2
185,N2,N1,N2
186,N2,N1,N1
187,N2,N1,N2
188,N2,N1,N2
189,N2,Wake,N1
190,N2,N1,N2
191,N2,N1,N1
193,N2,N1,N2
194,N2,N1,N1
195,N2,N1,N2
196,N2,Wake,N2
197,N2,N1,N2
198,N2,N1,N2
199,N2,Wake,N2
200,N2,N1,N2
201,N2,Wake,N1
202,N2,N1,N2
203,N2,Wake,N2
204,N2,Wake,Wake
205,N2,N1,N2
206,N2,Wake,N1
207,N2,N1,N2
208,N2,N1,N2
209,N2,Wake,N1
210,N2,Wake,N2
211,N2,N1,N2
212,N2,Wake,N1
213,N2,N1,N2
214,N2,N1,N2
215,N2,N1,N1
216,N2,N1,N1
217,N2,N1,N2
218,N2,Wake,N1
219,N2,N1,N2
220,N2,Wake,N2
221,N2,N1,N2
222,N2,N1,N2
223,N2,Wake,N1
224,N2,N1,N2
225,N2,N1,N2
226,N2,N1,N2
227,N2,N1,N2
228,N2,Wake,N1
229,N2,N1,N2
230,N2,N1,N2
231,N2,Wake,N2
232,N2,N1,N2
233,N2,N1,N1
234,N2,N1,N2
235,N2,N1,N2
236,N2,N1,N2
237,N2,N1,N2
238,N2,N1,N2
239,N2,Wake,N2
240,N2,N1,N2
241,N2,Wake,N1
242,N2,N1,N2
243,Wake,Wake,N1
244,N2,Wake,N1
245,N2,N1,N2
246,N2,N1,N2
247,N2,Wake,N1
248,N2,Wake,N2
249,N2,Wake,N2
250,N2,N1,N2
251,N2,Wake,N1
252,N2,N1,N2
253,N2,N1,N2
254,N2,Wake,N1
255,N2,Wake,N2
256,N2,N1,N2
257,N2,Wake,N2
258,N2,N1,N2
259,N2,N1,N2
260,N2,Wake,N2
261,N2,N1,N2
262,N2,N1,N2
263,N2,N1,N2
264,N2,N1,N1
265,N2,N1,N2
266,N2,Wake,N1
267,N2,N1,N2
268,N2,Wake,N1
269,N2,N1,N1
270,N2,N1,N1
271,N2,Wake,N1
272,N2,N1,N1
273,N2,Wake,Wake
274,N2,Wake,Wake
275,N2,Wake,N1
276,N2,N1,N2
277,N2,Wake,N1
278,N2,N1,N2
279,N2,Wake,N2
280,N2,N1,N2
281,N2,N1,N2
282,N2,N1,N2
283,N2,N1,N2
284,N2,N1,N1
285,N2,N1,N2
286,N2,N1,N1
287,N2,N1,N2
288,N2,N1,N2
289,N2,N1,N2
290,N2,N1,N2
291,N2,N1,N2
292,N2,N1,N2
293,N2,Wake,N1
294,N2,N1,N2
295,N2,N1,N1
296,N2,N1,N2
297,N2,N1,N1
298,N2,N1,N2
299,N2,Wake,N2
300,N2,N1,N2
301,N2,N1,N2
302,N2,N1,N2
303,N2,N1,N2
304,N2,Wake,N1
305,N2,N1,N2
306,N2,N1,N2
307,N2,Wake,N1
308,N2,N1,N2
309,N2,N1,N2
310,N2,N1,N2
311,N2,Wake,N1
312,N2,N1,N2
313,N2,Wake,N1
314,N2,N1,N2
315,N2,N1,N1
316,N2,Wake,N2
317,N2,Wake,N2
318,N2,N1,N2
319,N2,N1,N2
320,N2,Wake,N2
321,N2,N1,N2
322,N2,Wake,N2
323,N2,N1,N2
324,N2,N1,N2
325,N2,N1,N2
326,N2,Wake,N2
327,N2,N1,N2
328,N2,N1,N2
329,N2,Wake,N2
330,N2,N1,N2
331,N2,Wake,N2
332,N2,N1,N2
333,N2,Wake,N2
334,N2,N1,N2
335,N2,N1,N2
336,N2,N1,N2
337,N2,N1,N2
338,Wake,Wake,N1
339,N2,N1,N2
340,N2,Wake,N2
341,N2,N1,N2
342,N2,N1,N2
343,N2,N1,N2
344,N2,N1,N2
345,N2,Wake,N1
346,N2,N1,N2
347,N2,Wake,N1
348,N2,N1,N2
349,N2,N1,N2
350,N2,N1,N2
351,N2,N1,N2
352,N2,Wake,N2
353,N2,N1,N2
354,N2,N1,N2
355,N2,N1,N2
356,N2,Wake,N2
357,N2,Wake,Wake
358,N2,N1,N2
359,N2,N1,N1
360,N2,N1,N2
361,N2,Wake,N2
362,N2,N1,N2
363,N2,Wake,N2
364,N2,Wake,N1
366,N2,N1,N2
367,N2,N1,N2
368,N2,N1,N2
369,N2,N1,N1
370,N2,N1,N2
371,N2,Wake,N2
374,N2,Wake,Wake
375,N2,Wake,N1
445,Wake,Wake,N1
447,Wake,Wake,N1
448,Wake,Wake,N1
452,Wake,Wake,N1
453,Wake,Wake,N1
454,Wake,Wake,N1
455,Wake,Wake,N1
456,N1,Wake,N1
457,N1,Wake,N2
458,N1,Wake,N2
459,N1,Wake,N2
460,N1,Wake,N2
462,Wake,Wake,N1
464,Wake,Wake,N1
465,N1,Wake,N2
468,N1,Wake,N1
469,N1,Wake,N1
470,N1,Wake,N1
471,N1,Wake,Wake
472,N2,Wake,N1
473,N2,Wake,Wake
474,N2,Wake,Wake
475,N2,Wake,N1
476,N2,Wake,N2
477,N2,Wake,N1
478,N2,Wake,N1
479,N2,Wake,N2
480,N2,Wake,N1
481,N2,N1,N2
482,N2,Wake,N2
483,N2,N1,N2
484,N2,Wake,N2
485,N2,N1,N2
486,N2,Wake,N2
487,N2,Wake,N2
488,N2,N1,N2
489,N2,Wake,N1
490,N2,N1,N2
491,N2,Wake,N2
492,N2,Wake,N1
493,N2,N1,N2
494,N2,Wake,N2
495,N2,N1,N2
496,N2,Wake,N2
497,N2,N1,N2
498,N2,N1,N2
499,N2,Wake,N2
500,N2,N1,N2
501,N2,Wake,N1
502,N2,N1,N2
503,N2,N1,N2
504,N2,Wake,N2
505,N2,N1,N2
506,N2,Wake,N1
507,N2,N1,N2
508,N2,Wake,N1
509,N2,N1,N2
510,N2,Wake,N2
511,N2,N1,N2
512,N2,Wake,N2
513,N2,N1,N2
514,N2,Wake,N2
515,N2,Wake,N1
516,N2,N1,N2
517,N2,Wake,N1
518,N2,N1,N2
519,N2,Wake,N2
520,N2,N1,N2
521,N2,Wake,N2
522,N2,Wake,N1
523,N2,N1,N2
524,N2,N1,N2
525,N2,N1,N2
526,N2,Wake,N1
527,N2,Wake,N2
528,N2,N1,N2
529,N2,Wake,N1
530,N2,N1,N2
531,N2,N1,N2
532,N2,Wake,N1
533,N2,N1,N2
534,N2,Wake,N2
535,N2,Wake,N2
536,N2,N1,N2
537,N2,Wake,Wake
538,N2,Wake,N1
539,N2,Wake,N1
540,N2,N1,N2
541,N2,Wake,N2
542,N2,N1,N2
543,N2,Wake,N1
544,N2,Wake,N2
545,N2,N1,N2
546,N2,N1,N2
547,N2,N1,N2
548,N2,Wake,N2
562,Wake,Wake,N1
563,Wake,Wake,N1
564,Wake,Wake,N2
565,Wake,Wake,N1
566,N1,Wake,N2
567,N1,N1,N2
568,N1,N1,N2
569,N1,Wake,N2
570,N2,N1,N2
571,N2,Wake,N1
572,N2,Wake,N1
573,N2,Wake,N2
574,N2,Wake,Wake
575,N2,Wake,N1
576,N2,N1,Wake
578,N1,Wake,N2
579,N1,Wake,N1
580,N1,Wake,Wake
581,N2,Wake,Wake
582,N2,Wake,Wake
583,N2,Wake,N1
584,N2,N1,N2
585,N2,Wake,N1
586,N2,N1,N2
587,N2,Wake,N1
588,N2,Wake,N2
589,N2,N1,N1
590,N2,Wake,Wake
591,N2,N1,N2
592,N2,Wake,N1
593,N2,N1,N2
594,N2,N1,N2
595,Wake,Wake,N2
596,N2,Wake,N1
597,N2,Wake,Wake
598,N2,Wake,Wake
599,N2,N1,N1
600,N2,Wake,N2
602,N1,Wake,N1
603,N1,Wake,Wake
604,N1,Wake,N2
605,N2,Wake,N1
606,N2,N1,N2
608,Wake,Wake,N1
609,N1,N1,N2
630,Wake,Wake,N1
631,Wake,Wake,N1
636,Wake,Wake,N1
637,Wake,Wake,N1
638,N1,Wake,N2
639,N1,Wake,N2
640,N1,Wake,N2
641,N2,Wake,N2
642,N2,Wake,N1
643,N2,Wake,N2
644,N2,Wake,N2
645,N2,Wake,N1
646,N2,Wake,N2
647,N2,Wake,Wake
648,N2,Wake,N1
649,N2,Wake,Wake
650,N2,Wake,N1
651,N2,Wake,N2
652,N2,Wake,N1
653,N2,Wake,N2
654,N2,Wake,N2
655,N2,N1,N2
656,N2,Wake,N2
657,N2,Wake,Wake
658,N2,N1,N2
659,N2,Wake,Wake
660,N2,Wake,N1
661,N2,Wake,N1
662,N2,Wake,Wake
663,N2,Wake,N1
664,N2,Wake,N1
665,N2,N1,N2
666,N2,Wake,N1
667,N2,Wake,Wake
668,N2,Wake,N1
669,N2,Wake,N2
670,N2,Wake,N2
671,N2,Wake,N2
672,N2,N1,N2
673,N2,N1,N2
674,N2,N1,N2
675,N2,N1,N2
676,N2,N1,N2
677,N2,N1,N1
678,N2,N1,N2
679,N2,N1,N2
680,N2,Wake,N1
681,N2,Wake,N2
682,N2,Wake,N2
683,N2,Wake,Wake
684,N2,Wake,N1
685,N2,Wake,Wake
686,N2,N1,N1
687,N2,N1,N1
688,N2,Wake,N1
689,N2,N1,N2
690,N2,N1,N2
691,N2,N1,N2
692,N2,N1,N2
695,N2,N1,N2
696,N2,N1,N2
