SCORED SS;ES;LS;auto;KI-Analyse old;MS;KI-Analyse
N2;N2;N3;N3;N3;N2;N3
N2;N3;N3;N3;N3;N2;N3
N3;N3;N3;N3;N3;N2;N3
N2;N3;N3;N3;N3;N2;N3
Rem;N2;N2;Rem;N3;N2;N2
Rem;Rem;N1;Rem;N2;N2;Rem
Rem;Rem;Rem;Rem;N2;Rem;Rem
Rem;Rem;Rem;Rem;N2;Rem;Rem
Rem;Rem;Rem;Rem;N2;Rem;Rem
Rem;Rem;Rem;Rem;N2;Rem;Rem
Rem;Rem;Rem;Rem;N2;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Wake;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Wake;Wake;Rem;Rem;Rem;Rem
Rem;N1;N1;Rem;Rem;Rem;Rem
Rem;Rem;N1;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;N1;Rem;Rem;Rem;Rem;Rem
Rem;N1;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;N1;Rem;Rem;N2;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;N1;Rem;N1;Rem;Rem
Rem;Rem;N1;Rem;N1;Rem;Rem
Rem;Rem;N2;N2;N1;N2;Rem
Rem;Rem;N2;N2;N2;N2;N2
Rem;Rem;N2;N2;N2;N2;N2
Rem;Rem;N2;N2;N2;N2;N2
N1;N1;N2;N2;N2;N1;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;Rem;N2;N2;N2
N2;N2;N2;Rem;N2;N2;N2
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;Wake
Wake;Wake;Wake;Rem;Wake;Wake;N2
N1;Wake;Wake;Wake;Wake;Wake;N2
N2;N1;N1;N1;Wake;N2;N2
Wake;Wake;Wake;Wake;Wake;Wake;N2
N2;N1;N1;N1;Wake;N2;N2
N1;Wake;Wake;Wake;Wake;Wake;N2
N1;N1;N1;Wake;Wake;N2;N2
N2;N2;N2;N2;Wake;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N3;N2;N2;N2;N2
N2;N2;N3;N2;N2;N2;N2
N2;N2;N3;N2;N2;N2;N2
N2;N2;N3;N2;N2;N2;N2
N2;N2;N3;N3;N2;N2;N2
N2;N2;N3;N3;N2;N2;N2
N2;N2;N3;N3;N2;N2;N2
N2;N2;N3;N3;N2;N2;N2
N2;N2;N3;N2;N2;N2;N2
N2;N2;N3;N2;N2;N2;N2
N2;N2;N3;N3;N2;N2;N2
N2;N2;N3;N3;N3;N2;N2
N2;N2;N3;N3;N3;N2;N2
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N2;N3;N3
N2;N2;N3;N3;N2;N2;N3
N2;N2;N3;N3;N2;N2;N3
N2;N2;N3;N3;N2;N2;N3
N2;N2;N3;N3;N2;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N3;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N2;N3;N3;N2;N3
N2;N2;N2;N3;N3;N2;N3
N2;N2;N2;N3;N3;N2;N3
N2;N2;N2;N3;N3;N2;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N3;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N3;N3
N2;N3;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N3;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N3;N3;N3;N3;N3;N3
N2;N3;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N3;N3;N3;N3;N3;N3
N2;N3;N3;N3;N3;N3;N3
N2;N3;N3;N3;N3;N3;N3
N2;N3;N3;N3;N3;N3;N3
N3;N3;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N3;N3;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N3;N2;N3;N3;N3;N3;N3
N2;N3;N3;N3;N3;N3;N3
N2;N3;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N3;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N3;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N2;N2;N3;N3;N3;N2;N3
N1;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;N2;N2;N2;N2;N2
Wake;Wake;N2;N2;Wake;N2;N2
N2;N2;N2;N2;N2;N2;N2
N2;N2;Rem;N2;N2;N2;N2
Rem;Rem;Rem;N2;N2;Rem;N2
Rem;Rem;Rem;Rem;N2;Rem;Rem
Rem;Rem;Rem;Rem;N2;Rem;Rem
Rem;Rem;Rem;Rem;N2;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Wake;Wake;Wake;Rem;Wake;Wake;Rem
Rem;Rem;N1;Rem;Wake;N1;Rem
Rem;Rem;N1;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;Rem;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
Rem;Rem;Rem;Rem;N1;Rem;Rem
